obf,edax_d20_score,edax_d20_depth_observed,edax_d20_best_move,parse_ok
----------O-------OOXX-----XX-----OXOO----OO------O------------- X;,22,20,d2,1
----------------OOO-OX----XXXX----OXO-----O-O------------------- X;,11,20,f2,1
----------X-------OXOO-----XX-----OXOO----OO------O------------- X;,14,20,b3,1
-----------------XO-OX----XXXO----OXO-O---O-O------------------- X;,17,20,g4,1
---------------O--XO-OO---XXXO-----OOO-----O-O------------------ X;,20,20,e3,1
--------------O--XO-OO----XXOX----OOO-----O-O------------------- X;,25,20,d3,1
-----------O-----OOOX-----OXX-----XOOOO----O-------------------- X;,17,20,c6,1
-----------O------XOX-----OXX----OOOOOO----O-------------------- X;,18,20,b4,1
-----------O------XOO-----XXXO----XOOOO----O-------------------- X;,19,20,c6,1
-----------O------OOX----OXXX-----OOOOO----O-------------------- X;,20,20,e2,1
------------------XXX----OOXOO---OOOO-------O-------O----------- X;,24,20,d6,1
------------------XXX----OOXOO----OOO-----O-O-------O----------- X;,22,20,d6,1
---------O-O------OOX-----XOX-----XOOOO----O-------------------- X;,34,20,e2,1
----------O-------XOX-O---XXXO-----OOOO----O-------------------- X;,17,20,d2,1
-------------O-----XOO----XXXO---OOOOO------O------------------- X;,17,20,e2,1
-------------O-----XOX----XXXO---OOOO-O-----O------------------- X;,18,20,e2,1
----------O-O-----XOO-----XXOX-----OOOO----O-------------------- X;,18,20,f3,1
-----------------OXX------OXOO----OOO-----OOO-------O----------- X;,18,20,d7,1
-------------O-----XOOO---XXXO---OOOO-------O------------------- X;,21,20,e2,1
----------OO------XOO-----XXXO-----OOOO----O-------------------- X;,21,20,f3,1
-------------OO----XOO----XXOX---OOOO-------O------------------- X;,35,20,f5,1
-----------O-----OXOX----XXOX------OOOO----O-------------------- X;,18,20,c5,1
-----------------OXXX----OXXX----O-OOOO----O-------------------- X;,18,20,a5,1
----------O------OXOX----XXXO------OOOO----O-------------------- X;,20,20,e2,1
----------OX------OX------OXOO----OOO-----O-O-------O----------- X;,19,20,b3,1
----------OX------XX------XXOO---OOOO-------O-------O----------- X;,23,20,c6,1
---------O-------OOXX----XXOX------OOOO----O-------------------- X;,35,20,c2,1
------------O-----XXXO----XXO-O----OOOO----O-------------------- X;,17,20,g3,1
-----------OO-----XOXX----XOO------OOOO----O-------------------- X;,20,20,f4,1
------------O-----XXXX---OOOO------OOOO----O-------------------- X;,21,20,c5,1
