kind,top_left_r,top_left_c,len_path,sign_flips,loop_cosine,classification
rect_1x3,0,3,9,4,1.0000000000000002,trivial
rect_1x3,0,4,9,4,1.0000000000000002,trivial
rect_1x3,0,5,9,4,1.0000000000000002,trivial
rect_1x3,0,6,9,4,1.0000000000000002,trivial
rect_1x3,1,0,9,4,1.0000000000000002,trivial
rect_1x3,1,1,9,4,1.0000000000000002,trivial
rect_1x3,1,2,9,4,1.0000000000000002,trivial
rect_1x3,1,3,9,4,1.0000000000000002,trivial
rect_1x3,1,4,9,4,1.0000000000000002,trivial
rect_1x3,1,5,9,4,1.0000000000000002,trivial
rect_1x3,1,6,9,4,1.0000000000000002,trivial
rect_1x3,2,0,9,4,1.0000000000000002,trivial
rect_1x3,2,1,9,4,1.0000000000000002,trivial
rect_1x3,2,2,9,4,1.0000000000000002,trivial
rect_1x3,2,3,9,4,1.0000000000000002,trivial
rect_1x3,2,4,9,4,1.0000000000000002,trivial
rect_1x3,2,5,9,4,1.0000000000000002,trivial
rect_1x3,2,6,9,4,1.0000000000000002,trivial
rect_1x3,3,0,9,4,1.0000000000000002,trivial
rect_1x3,3,1,9,4,1.0000000000000002,trivial
rect_1x3,3,2,9,4,1.0000000000000002,trivial
rect_1x3,3,3,9,4,1.0000000000000002,trivial
rect_1x3,3,4,9,4,1.0000000000000002,trivial
rect_1x3,3,5,9,4,1.0000000000000002,trivial
rect_1x3,3,6,9,4,1.0000000000000002,trivial
rect_1x3,4,0,9,4,1.0000000000000002,trivial
rect_1x3,4,1,9,4,1.0000000000000002,trivial
rect_1x3,4,2,9,4,1.0000000000000002,trivial
rect_1x3,4,3,9,4,1.0000000000000002,trivial
rect_1x3,4,4,9,4,1.0000000000000002,trivial
rect_1x3,4,5,9,4,1.0000000000000002,trivial
rect_1x3,4,6,9,4,1.0000000000000002,trivial
rect_1x4,0,0,11,5,1.0000000000000002,trivial
rect_1x4,0,1,11,5,1.0000000000000002,trivial
rect_1x4,0,2,11,5,1.0000000000000002,trivial
rect_1x4,0,3,11,5,1.0000000000000002,trivial
rect_1x4,0,4,11,5,1.0000000000000002,trivial
rect_1x4,0,5,11,5,1.0000000000000002,trivial
rect_1x4,0,6,11,5,1.0000000000000002,trivial
rect_1x4,1,0,11,5,1.0000000000000002,trivial
rect_1x4,1,1,11,5,1.0000000000000002,trivial
rect_1x4,1,2,11,5,1.0000000000000002,trivial
rect_1x4,1,3,11,5,1.0000000000000002,trivial
rect_1x4,1,4,11,5,1.0000000000000002,trivial
rect_1x4,1,5,11,5,1.0000000000000002,trivial
rect_1x4,1,6,11,5,1.0000000000000002,trivial
rect_1x4,2,0,11,5,1.0000000000000002,trivial
rect_1x4,2,1,11,5,1.0000000000000002,trivial
rect_1x4,2,2,11,5,1.0000000000000002,trivial
rect_1x4,2,3,11,5,1.0000000000000002,trivial
rect_1x4,2,4,11,5,1.0000000000000002,trivial
rect_1x4,2,5,11,5,1.0000000000000002,trivial
rect_1x4,2,6,11,5,1.0000000000000002,trivial
rect_1x4,3,0,11,5,1.0000000000000002,trivial
rect_1x4,3,1,11,5,1.0000000000000002,trivial
rect_1x4,3,2,11,5,1.0000000000000002,trivial
rect_1x4,3,3,11,5,1.0000000000000002,trivial
rect_1x4,3,4,11,5,1.0000000000000002,trivial
rect_1x4,3,5,11,5,1.0000000000000002,trivial
rect_1x4,3,6,11,5,1.0000000000000002,trivial
rect_1x5,0,0,13,6,1.0000000000000002,trivial
rect_1x5,0,1,13,6,1.0000000000000002,trivial
rect_1x5,0,2,13,6,1.0000000000000002,trivial
rect_1x5,0,3,13,6,1.0000000000000002,trivial
rect_1x5,0,4,13,6,1.0000000000000002,trivial
rect_1x5,0,5,13,6,1.0000000000000002,trivial
rect_1x5,0,6,13,6,1.0000000000000002,trivial
rect_1x5,1,0,13,6,1.0000000000000002,trivial
rect_1x5,1,1,13,6,1.0000000000000002,trivial
rect_1x5,1,2,13,6,1.0000000000000002,trivial
rect_1x5,1,3,13,6,1.0000000000000002,trivial
rect_1x5,1,4,13,6,1.0000000000000002,trivial
rect_1x5,1,5,13,6,1.0000000000000002,trivial
rect_1x5,1,6,13,6,1.0000000000000002,trivial
rect_1x5,2,0,13,6,1.0000000000000002,trivial
rect_1x5,2,1,13,6,1.0000000000000002,trivial
rect_1x5,2,2,13,6,1.0000000000000002,trivial
rect_1x5,2,3,13,6,1.0000000000000002,trivial
rect_1x5,2,4,13,6,1.0000000000000002,trivial
rect_1x5,2,5,13,6,1.0000000000000002,trivial
rect_1x5,2,6,13,6,1.0000000000000002,trivial
rect_1x6,0,0,15,7,1.0000000000000002,trivial
rect_1x6,0,1,15,7,1.0000000000000002,trivial
rect_1x6,0,2,15,7,1.0000000000000002,trivial
rect_1x6,0,3,15,7,1.0000000000000002,trivial
rect_1x6,0,4,15,7,1.0000000000000002,trivial
rect_1x6,0,5,15,7,1.0000000000000002,trivial
rect_1x6,0,6,15,7,1.0000000000000002,trivial
rect_1x6,1,0,15,7,1.0000000000000002,trivial
rect_1x6,1,1,15,7,1.0000000000000002,trivial
rect_1x6,1,2,15,7,1.0000000000000002,trivial
rect_1x6,1,3,15,7,1.0000000000000002,trivial
rect_1x6,1,4,15,7,1.0000000000000002,trivial
rect_1x6,1,5,15,7,1.0000000000000002,trivial
rect_1x6,1,6,15,7,1.0000000000000002,trivial
rect_1x7,0,0,17,8,1.0000000000000002,trivial
rect_1x7,0,1,17,8,1.0000000000000002,trivial
rect_1x7,0,2,17,8,1.0000000000000002,trivial
rect_1x7,0,3,17,8,1.0000000000000002,trivial
rect_1x7,0,4,17,8,1.0000000000000002,trivial
rect_1x7,0,5,17,8,1.0000000000000002,trivial
rect_1x7,0,6,17,8,1.0000000000000002,trivial
triangle_0,0,0,4,0,1.0000000000000002,trivial
triangle_1,0,0,4,0,1.0000000000000002,trivial
triangle_2,0,7,4,0,1.0000000000000002,trivial
triangle_3,0,0,4,0,1.0000000000000002,trivial
lj_rect_1x1,0,0,5,2,1.0000000000000002,trivial
lj_rect_1x1,0,1,5,2,1.0000000000000002,trivial
lj_rect_1x1,0,2,5,2,1.0000000000000002,trivial
lj_rect_1x1,0,3,5,2,1.0000000000000002,trivial
lj_rect_1x1,0,4,5,2,1.0000000000000002,trivial
lj_rect_1x1,0,5,5,2,1.0000000000000002,trivial
lj_rect_1x1,0,6,5,2,1.0000000000000002,trivial
lj_rect_1x1,1,0,5,2,1.0000000000000002,trivial
lj_rect_1x1,1,1,5,2,1.0000000000000002,trivial
lj_rect_1x1,1,2,5,2,1.0000000000000002,trivial
lj_rect_1x1,1,3,5,2,1.0000000000000002,trivial
lj_rect_1x1,1,4,5,2,1.0000000000000002,trivial
lj_rect_1x1,1,5,5,2,1.0000000000000002,trivial
lj_rect_1x1,1,6,5,2,1.0000000000000002,trivial
lj_rect_1x1,2,0,5,2,1.0000000000000002,trivial
lj_rect_1x1,2,1,5,2,1.0000000000000002,trivial
lj_rect_1x1,2,2,5,2,1.0000000000000002,trivial
lj_rect_1x1,2,3,5,2,1.0000000000000002,trivial
lj_rect_1x1,2,4,5,2,1.0000000000000002,trivial
lj_rect_1x1,2,5,5,2,1.0000000000000002,trivial
lj_rect_1x1,2,6,5,2,1.0000000000000002,trivial
lj_rect_1x1,3,0,5,2,1.0000000000000002,trivial
lj_rect_1x1,3,1,5,2,1.0000000000000002,trivial
lj_rect_1x1,3,2,5,2,1.0000000000000002,trivial
lj_rect_1x1,3,3,5,2,1.0000000000000002,trivial
lj_rect_1x1,3,4,5,2,1.0000000000000002,trivial
lj_rect_1x1,3,5,5,2,1.0000000000000002,trivial
lj_rect_1x1,3,6,5,2,1.0000000000000002,trivial
lj_rect_1x1,4,0,5,2,1.0000000000000002,trivial
lj_rect_1x1,4,1,5,2,1.0000000000000002,trivial
lj_rect_1x1,4,2,5,2,1.0000000000000002,trivial
lj_rect_1x1,4,3,5,2,1.0000000000000002,trivial
lj_rect_1x1,4,4,5,2,1.0000000000000002,trivial
lj_rect_1x1,4,5,5,2,1.0000000000000002,trivial
lj_rect_1x1,4,6,5,2,1.0000000000000002,trivial
lj_rect_1x1,5,0,5,2,1.0000000000000002,trivial
lj_rect_1x1,5,1,5,2,1.0000000000000002,trivial
lj_rect_1x1,5,2,5,2,1.0000000000000002,trivial
lj_rect_1x1,5,3,5,2,1.0000000000000002,trivial
lj_rect_1x1,5,4,5,2,1.0000000000000002,trivial
lj_rect_1x1,5,5,5,2,1.0000000000000002,trivial
lj_rect_1x1,5,6,5,2,1.0000000000000002,trivial
lj_rect_1x1,6,0,5,2,1.0000000000000002,trivial
lj_rect_1x1,6,1,5,2,1.0000000000000002,trivial
lj_rect_1x1,6,2,5,2,1.0000000000000002,trivial
lj_rect_1x1,6,3,5,2,1.0000000000000002,trivial
lj_rect_1x1,6,4,5,2,1.0000000000000002,trivial
lj_rect_1x1,6,5,5,2,1.0000000000000002,trivial
lj_rect_1x1,6,6,5,2,1.0000000000000002,trivial
lj_rect_2x1,0,0,5,2,1.0000000000000002,trivial
lj_rect_2x1,0,1,5,2,1.0000000000000002,trivial
lj_rect_2x1,0,2,5,2,1.0000000000000002,trivial
lj_rect_2x1,0,3,5,2,1.0000000000000002,trivial
lj_rect_2x1,0,4,5,2,1.0000000000000002,trivial
lj_rect_2x1,0,5,5,2,1.0000000000000002,trivial
lj_rect_2x1,1,0,5,2,1.0000000000000002,trivial
lj_rect_2x1,1,1,5,2,1.0000000000000002,trivial
lj_rect_2x1,1,2,5,2,1.0000000000000002,trivial
lj_rect_2x1,1,3,5,2,1.0000000000000002,trivial
lj_rect_2x1,1,4,5,2,1.0000000000000002,trivial
lj_rect_2x1,1,5,5,2,1.0000000000000002,trivial
lj_rect_2x1,2,0,5,2,1.0000000000000002,trivial
lj_rect_2x1,2,1,5,2,1.0000000000000002,trivial
lj_rect_2x1,2,2,5,2,1.0000000000000002,trivial
lj_rect_2x1,2,3,5,2,1.0000000000000002,trivial
lj_rect_2x1,2,4,5,2,1.0000000000000002,trivial
lj_rect_2x1,2,5,5,2,1.0000000000000002,trivial
lj_rect_2x1,3,0,5,2,1.0000000000000002,trivial
lj_rect_2x1,3,1,5,2,1.0000000000000002,trivial
lj_rect_2x1,3,2,5,2,1.0000000000000002,trivial
lj_rect_2x1,3,3,5,2,1.0000000000000002,trivial
lj_rect_2x1,3,4,5,2,1.0000000000000002,trivial
