game,ply,side_to_move,n_empties,disc_diff_black_white,a1_minus_energy,edax_score_shallow,edax_score_deep,depth_gap
26,14,1,46,-4,0.6250000000000001,3,2,1
26,15,-1,45,1,1.4999999999999998,-4,-4,0
26,16,1,44,-2,1.875,2,2,0
26,17,-1,43,1,2.0000000000000004,-3,-4,1
26,18,1,42,-6,1.875,5,2,3
26,19,-1,41,-3,2.0000000000000004,-2,-3,1
26,20,1,40,-10,6.875,6,3,3
26,21,-1,39,-5,4.625,-4,-1,3
26,22,1,38,-8,4.750000000000001,6,5,1
26,23,-1,37,-3,6.625000000000001,-2,-5,3
26,24,1,36,-6,5.749999999999999,2,8,6
26,25,-1,35,3,3.875,-2,-9,7
26,26,1,34,-2,2.25,3,7,4
26,27,-1,33,3,4.125000000000001,-4,-9,5
26,28,1,32,-2,5.000000000000001,6,9,3
26,29,-1,31,1,4.125000000000001,-2,-10,8
26,30,1,30,-2,5.25,4,10,6
26,31,-1,29,5,11.875,-7,-10,3
26,32,1,28,0,9.499999999999998,10,16,6
26,33,-1,27,3,12.875,-12,-16,4
26,34,1,26,-2,15.750000000000002,15,18,3
26,35,-1,25,1,14.625000000000002,-14,-16,2
26,36,1,24,-10,10.25,17,16,1
26,37,-1,23,-5,10.875,-15,-16,1
