Parsing SERVER log...
  Found 3067 SERVER activations
Parsing CLIENT log...
  Found 3069 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
490.08       2000         -1595        1000         -2595        OVERLAP
490.08       2000         395          1000         -605         OVERLAP
492.03       2000         -1545        1000         -2545        OVERLAP
492.03       2000         445          1000         -555         OVERLAP
494.04       2000         -1555        1000         -2555        OVERLAP
494.04       2000         435          1000         -565         OVERLAP
494.05       2000         435          1000         -565         OVERLAP
496.05       2000         -1565        1000         -2565        OVERLAP
496.05       2000         425          1000         -575         OVERLAP
496.05       2000         435          1000         -565         OVERLAP
498.06       2000         -1575        1000         -2575        OVERLAP
498.06       2000         415          1000         -585         OVERLAP
498.06       2000         415          1000         -585         OVERLAP
500.07       2000         -1595        1000         -2595        OVERLAP
500.07       2000         415          1000         -585         OVERLAP
500.07       2000         415          1000         -585         OVERLAP
502.07       2000         -1585        1000         -2585        OVERLAP
502.07       2000         415          1000         -585         OVERLAP
502.08       2000         405          1000         -595         OVERLAP
504.09       2000         -1605        1000         -2605        OVERLAP
504.09       2000         395          1000         -605         OVERLAP
506.10       2000         -1615        1000         -2615        OVERLAP
506.10       2000         385          1000         -615         OVERLAP
508.11       2000         -1625        1000         -2625        OVERLAP
508.11       2000         375          1000         -625         OVERLAP
510.11       2000         -1625        1000         -2625        OVERLAP
510.11       2000         375          1000         -625         OVERLAP
512.12       2000         -1635        1000         -2635        OVERLAP
512.12       2000         365          1000         -635         OVERLAP
514.13       2000         -1645        1000         -2645        OVERLAP
514.13       2000         355          1000         -645         OVERLAP
516.14       2000         -1655        1000         -2655        OVERLAP
516.14       2000         345          1000         -655         OVERLAP
518.15       2000         -1665        1000         -2665        OVERLAP
518.15       2000         335          1000         -665         OVERLAP
520.15       2000         -1665        1000         -2665        OVERLAP
520.15       2000         335          1000         -665         OVERLAP
522.16       2000         -1675        1000         -2675        OVERLAP
522.16       2000         325          1000         -675         OVERLAP
524.17       2000         -1685        1000         -2685        OVERLAP
524.17       2000         315          1000         -685         OVERLAP
526.18       2000         -1695        1000         -2695        OVERLAP
526.18       2000         305          1000         -695         OVERLAP
528.19       2000         -1705        1000         -2705        OVERLAP
528.19       2000         295          1000         -705         OVERLAP
